"id";"imdb_link";"title";"description";"imdb_score";"genre";"imdb_movie_poster"
112471;"http://www.imdb.com/title/tt112471";"Before Sunrise (1995)";"";8.1;"Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
112495;"http://www.imdb.com/title/tt112495";"Beyond Rangoon (1995)";"";6.6;"Action|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwODgxMTA1NV5BMl5BanBnXkFtZTcwNzg0MTgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112499;"http://www.imdb.com/title/tt112499";"The Big Green (1995)";"";5.5;"Comedy|Family|Sport";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
112508;"http://www.imdb.com/title/tt112508";"Billy Madison (1995)";"";6.4;"Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112541;"http://www.imdb.com/title/tt112541";"Blue in the Face (1995)";"";6.7;"Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MTUzMDIyMl5BMl5BanBnXkFtZTcwNzk4MDYyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
112571;"http://www.imdb.com/title/tt112571";"Boys on the Side (1995)";"";6.4;"Comedy|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzg4NDk3OF5BMl5BanBnXkFtZTcwMjcwNTgxMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg"
112585;"http://www.imdb.com/title/tt112585";"The Brothers McMullen (1995)";"";6.6;"Comedy|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwODk3MDU5N15BMl5BanBnXkFtZTcwMTE2NTYyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
112602;"http://www.imdb.com/title/tt112602";"Bushwhacked (1995)";"";5.5;"Adventure|Comedy|Crime";"https://images-na.ssl-images-amazon.com/images/M/MV5BM2NlODBjNWQtMDUwNC00MjAzLWFhMWYtNGFiMDliNWY5Y2M5XkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112637;"http://www.imdb.com/title/tt112637";"Carrington (1995)";"";6.9;"Biography|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112641;"http://www.imdb.com/title/tt112641";"Casino (1995)";"";8.2;"Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
112642;"http://www.imdb.com/title/tt112642";"Casper (1995)";"";6.0;"Comedy|Family|Fantasy";"https://images-na.ssl-images-amazon.com/images/M/MV5BZThhYTlhMDUtMDhjZi00MTljLTkwMDYtOGU3ZjVlMWE4NDk4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR5,0,182,268_AL_.jpg"
112643;"http://www.imdb.com/title/tt112643";"Castle Freak (1995)";"";5.9;"Drama|Horror|Mystery";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzQ3MjU5MV5BMl5BanBnXkFtZTcwMTI0NTYzNQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
112679;"http://www.imdb.com/title/tt112679";"Circle of Friends (1995)";"";6.6;"Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BNTAwOTIwMjgxMV5BMl5BanBnXkFtZTcwNjQ0MDYyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
112682;"http://www.imdb.com/title/tt112682";"The City of Lost Children (1995)";"";7.7;"Fantasy|Sci-Fi";"https://images-na.ssl-images-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL_.jpg"
112688;"http://www.imdb.com/title/tt112688";"Clockers (1995)";"";6.9;"Crime|Drama|Mystery";"https://images-na.ssl-images-amazon.com/images/M/MV5BNGRlZjMzMzctZmJiYS00NzUwLWI5NDYtZmIyZjcwOGVkYmM1XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112697;"http://www.imdb.com/title/tt112697";"Clueless (1995)";"";6.8;"Comedy|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
112714;"http://www.imdb.com/title/tt112714";"Le confessionnal (1995)";"";7.6;"Drama|Mystery|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MDE1MTYyNl5BMl5BanBnXkFtZTcwMzc3NDEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112715;"http://www.imdb.com/title/tt112715";"Congo (1995)";"";5.1;"Action|Adventure|Mystery";"https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112722;"http://www.imdb.com/title/tt112722";"Copycat (1995)";"";6.6;"Crime|Drama|Mystery";"https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112740;"http://www.imdb.com/title/tt112740";"Crimson Tide (1995)";"";7.3;"Action|Drama|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
112749;"http://www.imdb.com/title/tt112749";"Cry, the Beloved Country (1995)";"";6.9;"Drama|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
112757;"http://www.imdb.com/title/tt112757";"The Cure (1995)";"";7.7;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BNTcyMDM2NjkzOF5BMl5BanBnXkFtZTcwNzg0MDcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
